,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
doc_716,,,,X,,X,,,,
doc_717,,,,,,X,,X,,
doc_718,,,,,,X,,,,
doc_719,,,,,,X,,,,
doc_720,,,,,,X,,,,
doc_721,,,,,,X,,,,
doc_722,,,,X,,X,,,,
doc_723,,,,,,X,,,,
doc_724,X,,,X,,,,,,
doc_725,,,,X,,,,,,
doc_726,,,,,,X,,,,
doc_727,,,,,,X,,,,
doc_728,,,,,,X,,,,
doc_729,,,,X,,X,,,X,
doc_730,,,,,,X,,,,
doc_731,,,,,,X,,,,
doc_732,,,,,,X,,,,
doc_733,,,,,,X,,,,
doc_734,,,,,,X,,,,
doc_735,,,,,,,,X,,
doc_736,,,,X,,,,,,
doc_737,,,,X,,,,,,
doc_738,X,,,X,,X,,,,
doc_739,,,,X,,,,,,
doc_740,,,,X,,,,,,
doc_741,,,,X,,,,,,
doc_742,,,,X,,,,,,
doc_743,,,,X,,,,,,
doc_744,,,,X,X,,,X,,
doc_745,,,,X,,,,,,
doc_746,,,,X,,,,,,
doc_747,,,,X,,,,,,
doc_748,,,,X,,,,,,
doc_749,,,,X,,,,,,
doc_750,,,,,,,,X,,
doc_751,,,,X,,X,,,,
doc_752,,,,,,,,X,,
doc_753,,,,X,,,,X,,
doc_754,,,,X,,X,,,,
doc_755,,,,,,X,,,,
doc_756,,,,X,X,,,X,,
doc_757,,,,X,,X,,,,
doc_758,,,,,,X,,,,
doc_759,,,,,,X,,,,
doc_760,,,,,,X,,X,,
doc_761,,,,,,X,,,,
doc_762,,,,,,X,,,,
doc_763,,,,,,X,,,,
doc_764,,,,X,,,,,,
doc_765,,,,X,,,,,,
doc_766,,,,,,X,,X,,
doc_767,,,,,,X,X,,,
doc_768,,,,,,,,X,,
doc_769,,,,,,X,,,,
doc_770,X,,,X,,X,,,,
doc_771,,,,,,X,,,,
doc_772,,,,,,X,,,,
doc_773,,,,,,X,,,,
doc_774,,,,,,X,,,,
doc_775,,,,,,X,,,,
doc_776,X,,,X,,X,,,,
doc_777,,,,,,,,X,,
doc_778,,,X,X,,X,,,,
doc_779,,,,,,,,X,,
doc_780,,,,X,,X,,,,
doc_781,,,,,,X,,X,,
doc_782,,,,,,X,,,,
doc_783,,,,,,X,,X,,
doc_784,,,,X,,X,,,X,
doc_785,,,,X,,,,,,
doc_786,,,,,,X,,,,
doc_787,X,,,X,,X,,,,
doc_788,,,,X,,,,,,
doc_789,,,,X,,,,X,,
doc_790,,,,X,,X,,,,
doc_791,,X,,X,,,,,,
doc_792,,,,,,X,,X,,
doc_793,,,,X,,,,,X,
doc_794,,,,X,,X,,,,
doc_795,,,,,,X,,,,
doc_796,,,,,,X,,,,
doc_797,,,,X,,X,,,,
doc_798,X,X,X,X,X,X,X,X,X,X
doc_799,,,,,,,,X,,
doc_800,,,,,,X,X,,,
doc_801,,,,,,,,X,,
doc_802,,,,,,,,X,,
doc_803,,,,,,X,,X,,
doc_804,,,,X,,,,X,,
doc_805,,,,,,X,,X,,
doc_806,,,,,,X,,X,,
doc_807,,,,,,X,,,,
doc_808,X,,,X,,,,,,
doc_809,X,,,,,X,,,,
doc_810,,,,,,X,,,,
doc_811,,,,,,X,,X,,
doc_812,,,,,,X,,X,,
doc_813,,,,,,X,,,,
doc_814,X,,,X,,X,,,,
doc_815,X,,,X,,X,,,,
doc_816,,,,,,X,,,,
doc_817,,,,,,X,,,,
doc_818,,,,,,X,,X,,
doc_819,,,,X,,,,X,,
doc_820,,,,,,X,,,,
doc_821,,,,,,X,,,,
